image,iou
andor_boruth_19.jpeg,0.5975
andor_boruth_27.jpeg,0.0000
andor_boruth_39.jpeg,0.0000
andor_boruth_53.jpeg,0.0000
andor_boruth_9.jpeg,0.6862
elemir_halasz_hradil_2.jpg,0.0000
elemir_halasz_hradil_24.jpeg,0.6437
elemir_halasz_hradil_29.jpg,0.0000
elemir_halasz_hradil_33.jpg,0.0000
elemir_halasz_hradil_36.jpg,0.6741
jan_mudroch_14.jpeg,0.7156
jan_mudroch_21.jpeg,0.0000
jan_mudroch_24.jpeg,0.0000
jan_mudroch_34.jpeg,0.0000
jan_mudroch_39.jpeg,0.0000
jozef_hanula_24.jpg,0.0000
jozef_hanula_28.jpg,0.6739
jozef_hanula_33.jpg,0.0000
jozef_hanula_39.jpg,0.0000
jozef_hanula_7.jpg,0.0000
ladislav_cemicky_1.jpeg,0.0000
ladislav_cemicky_11.jpeg,0.6695
ladislav_cemicky_18.jpeg,0.0000
ladislav_cemicky_23.jpeg,0.5955
ladislav_cemicky_28.jpeg,0.6427
ladislav_mednyanszky_14.jpg,0.0000
ladislav_mednyanszky_23.jpg,0.7692
ladislav_mednyanszky_58.jpg,0.0000
ladislav_mednyanszky_63.jpg,0.7234
ladislav_mednyanszky_65.jpeg,0.0000
ludovit_pitthordt_24.jpg,0.0000
ludovit_pitthordt_28.jpg,0.6066
ludovit_pitthordt_3.jpg,0.6365
ludovit_pitthordt_31.jpg,0.6803
ludovit_pitthordt_42.jpeg,0.5606
maria_medvecka_10.jpeg,0.0000
maria_medvecka_2.jpeg,0.6831
maria_medvecka_26.jpeg,0.6511
maria_medvecka_29.jpeg,0.8264
maria_medvecka_33.jpeg,0.0000
maximilian_kurth_22.jpeg,0.0000
maximilian_kurth_26.jpeg,0.0000
maximilian_kurth_27.jpeg,0.0000
maximilian_kurth_34.jpeg,0.0000
maximilian_kurth_9.jpeg,0.6753
milan_thomka_mitrovsky_113.jpeg,0.6863
milan_thomka_mitrovsky_14.jpg,0.6265
milan_thomka_mitrovsky_29.jpg,0.0000
milan_thomka_mitrovsky_5.jpg,0.6910
milan_thomka_mitrovsky_51.jpeg,0.0000
peter_michal_bohun_26.jpg,0.6452
peter_michal_bohun_44.jpg,0.6775
peter_michal_bohun_58.jpg,0.0000
peter_michal_bohun_63.jpeg,0.0000
peter_michal_bohun_86.jpeg,0.6078
